year,country,energy_production,energy_consumption,co2_emission,balance,eficiency,co2_pc,energy_type
1980-01-01,Venezuela,0.15,0.155,0.0,-0.005,0.0,0.0,0
1980-01-01,Venezuela,5.0,0.812,0.0,4.188,0.0,0.0,3
1980-01-01,Venezuela,0.616,0.616,0.0,0.0,0.0,0.0,2
1980-01-01,Venezuela,0.001,0.002,0.0,-0.0,0.0,0.0,4
1981-01-01,Venezuela,0.156,0.161,0.0,-0.005,0.0,0.0,0
1981-01-01,Venezuela,4.829,0.876,56.083,3.952,11.614,0.004,3
1981-01-01,Venezuela,0.681,0.681,32.669,0.0,47.955,0.002,2
1981-01-01,Venezuela,0.001,0.001,0.746,0.0,517.122,0.0,4
1982-01-01,Venezuela,0.166,0.168,0.0,-0.002,0.0,0.0,0
1982-01-01,Venezuela,4.369,0.864,61.0,3.505,13.962,0.004,3
1982-01-01,Venezuela,0.715,0.715,36.145,0.0,50.581,0.002,2
1982-01-01,Venezuela,0.002,0.001,0.702,0.0,467.598,0.0,4
1983-01-01,Venezuela,0.193,0.196,0.0,-0.004,0.0,0.0,0
1983-01-01,Venezuela,4.152,0.81,60.0,3.343,14.45,0.004,3
1983-01-01,Venezuela,0.686,0.686,37.914,0.0,55.267,0.002,2
1983-01-01,Venezuela,0.001,0.002,0.384,-0.0,353.065,0.0,4
1984-01-01,Venezuela,0.203,0.207,0.0,-0.004,0.0,0.0,0
1984-01-01,Venezuela,4.125,0.769,56.0,3.356,13.576,0.003,3
1984-01-01,Venezuela,0.727,0.727,36.398,0.0,50.099,0.002,2
1984-01-01,Venezuela,0.002,0.002,0.606,-0.0,403.924,0.0,4
1985-01-01,Venezuela,0.228,0.234,0.0,-0.006,0.0,0.0,0
1985-01-01,Venezuela,3.852,0.775,53.0,3.077,13.759,0.003,3
1985-01-01,Venezuela,0.736,0.736,38.546,0.0,52.37,0.002,2
1985-01-01,Venezuela,0.002,0.002,0.618,-0.0,389.065,0.0,4
1986-01-01,Venezuela,0.26,0.267,0.0,-0.007,0.0,0.0,0
1986-01-01,Venezuela,4.15,0.812,54.0,3.338,13.011,0.003,3
1986-01-01,Venezuela,0.803,0.803,39.052,0.0,48.648,0.002,2
1986-01-01,Venezuela,0.002,0.002,0.863,-0.0,514.684,0.0,4
1987-01-01,Venezuela,0.318,0.324,0.0,-0.006,0.0,0.0,0
1987-01-01,Venezuela,4.067,0.811,56.0,3.256,13.769,0.003,3
1987-01-01,Venezuela,0.782,0.782,42.59,0.0,54.43,0.002,2
1987-01-01,Venezuela,0.004,0.002,0.912,0.002,256.132,0.0,4
1988-01-01,Venezuela,0.35,0.355,0.0,-0.005,0.0,0.0,0
1988-01-01,Venezuela,4.423,0.793,56.0,3.63,12.66,0.003,3
1988-01-01,Venezuela,0.781,0.781,41.516,0.0,53.138,0.002,2
1988-01-01,Venezuela,0.032,0.002,0.852,0.031,26.559,0.0,4
1989-01-01,Venezuela,0.358,0.362,0.0,-0.004,0.0,0.0,0
1989-01-01,Venezuela,4.436,0.776,54.0,3.66,12.174,0.003,3
1989-01-01,Venezuela,0.916,0.916,41.453,0.0,45.26,0.002,2
1989-01-01,Venezuela,0.063,0.001,0.758,0.061,12.121,0.0,4
1990-01-01,Venezuela,0.381,0.384,0.0,-0.003,0.0,0.0,0
1990-01-01,Venezuela,4.96,0.79,53.0,4.17,10.686,0.003,3
1990-01-01,Venezuela,0.906,0.906,48.593,0.0,53.622,0.002,2
1990-01-01,Venezuela,0.064,0.001,0.606,0.063,9.408,0.0,4
1991-01-01,Venezuela,0.46,0.462,0.0,-0.002,0.0,0.0,0
1991-01-01,Venezuela,5.497,0.804,54.0,4.693,9.823,0.003,3
1991-01-01,Venezuela,0.945,0.945,48.08,0.0,50.877,0.002,2
1991-01-01,Venezuela,0.064,0.001,0.457,0.063,7.146,0.0,4
1992-01-01,Venezuela,0.484,0.485,0.0,-0.001,0.0,0.0,0
1992-01-01,Venezuela,5.497,0.826,54.0,4.671,9.824,0.003,3
1992-01-01,Venezuela,0.909,0.909,50.14,0.0,55.144,0.002,2
