GDP,Population,Energy_consumption,per_capita_production,Energy_intensity_by_GDP,balance,energy_dependecy,use_intensity_pc,co2_pc,clusters,energy_type,continent_Africa,continent_Asia,continent_Europe,continent_North America,continent_Oceania,continent_South America
279.389,15182.6,0.155,104.341,5.67,-0.005,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
279.389,15182.6,0.812,104.341,5.67,4.188,0.003,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0
279.389,15182.6,0.616,104.341,5.67,0.0,0.002,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,1.0
279.389,15182.6,0.002,104.341,5.67,-0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
278.376,15597.88,0.161,110.257,6.178,-0.005,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
278.376,15597.88,0.876,110.257,6.178,3.952,0.003,0.0,0.004,2,3,0.0,0.0,0.0,0.0,0.0,1.0
278.376,15597.88,0.681,110.257,6.178,0.0,0.002,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
278.376,15597.88,0.001,110.257,6.178,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
272.61,16017.58,0.168,109.116,6.411,-0.002,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
272.61,16017.58,0.864,109.116,6.411,3.505,0.003,0.0,0.004,2,3,0.0,0.0,0.0,0.0,0.0,1.0
272.61,16017.58,0.715,109.116,6.411,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
272.61,16017.58,0.001,109.116,6.411,0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
266.744,16443.12,0.196,102.995,6.349,-0.004,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
266.744,16443.12,0.81,102.995,6.349,3.343,0.003,0.0,0.004,2,3,0.0,0.0,0.0,0.0,0.0,1.0
266.744,16443.12,0.686,102.995,6.349,0.0,0.003,0.0,0.002,0,2,0.0,0.0,0.0,0.0,0.0,1.0
266.744,16443.12,0.002,102.995,6.349,-0.0,0.0,0.0,0.0,1,4,0.0,0.0,0.0,0.0,0.0,1.0
273.556,16876.7,0.207,100.99,6.23,-0.004,0.001,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
273.556,16876.7,0.769,100.99,6.23,3.356,0.003,0.0,0.003,2,3,0.0,0.0,0.0,0.0,0.0,1.0
